"user_id","meta_value"
2663,"a:1:{s:8:""guardian"";b:1;}"
2567,"a:1:{s:8:""guardian"";b:1;}"
3739,"a:1:{s:8:""guardian"";b:1;}"
3725,"a:1:{s:8:""guardian"";b:1;}"
2978,"a:2:{s:8:""guardian"";b:1;s:12:""bishopgalvin"";b:1;}"
3543,"a:1:{s:8:""guardian"";b:1;}"
3522,"a:1:{s:8:""guardian"";b:1;}"
3481,"a:1:{s:8:""guardian"";b:1;}"
3429,"a:1:{s:8:""guardian"";b:1;}"
2600,"a:1:{s:8:""guardian"";b:1;}"
3708,"a:1:{s:8:""guardian"";b:1;}"
3535,"a:1:{s:8:""guardian"";b:1;}"
3090,"a:1:{s:8:""guardian"";b:1;}"
2718,"a:1:{s:8:""guardian"";b:1;}"
3667,"a:1:{s:8:""guardian"";b:1;}"
3566,"a:1:{s:8:""guardian"";b:1;}"
2772,"a:1:{s:8:""guardian"";b:1;}"
3019,"a:1:{s:8:""guardian"";b:1;}"
2982,"a:1:{s:8:""guardian"";b:1;}"
2816,"a:1:{s:8:""guardian"";b:1;}"
2490,"a:1:{s:8:""guardian"";b:1;}"
3861,"a:1:{s:8:""guardian"";b:1;}"
2716,"a:1:{s:8:""guardian"";b:1;}"
3527,"a:1:{s:8:""guardian"";b:1;}"
2588,"a:1:{s:8:""guardian"";b:1;}"
3459,"a:1:{s:8:""guardian"";b:1;}"
3380,"a:1:{s:8:""guardian"";b:1;}"
3307,"a:1:{s:8:""guardian"";b:1;}"
3095,"a:1:{s:8:""guardian"";b:1;}"
2691,"a:1:{s:8:""guardian"";b:1;}"
3656,"a:1:{s:8:""guardian"";b:1;}"
3514,"a:1:{s:8:""guardian"";b:1;}"
3026,"a:1:{s:8:""guardian"";b:1;}"
2920,"a:1:{s:8:""guardian"";b:1;}"
3821,"a:1:{s:8:""guardian"";b:1;}"
3774,"a:1:{s:8:""guardian"";b:1;}"
3125,"a:1:{s:8:""guardian"";b:1;}"
2706,"a:1:{s:8:""guardian"";b:1;}"
3789,"a:1:{s:8:""guardian"";b:1;}"
3179,"a:1:{s:8:""guardian"";b:1;}"
3129,"a:1:{s:8:""guardian"";b:1;}"
3121,"a:1:{s:8:""guardian"";b:1;}"
3061,"a:1:{s:8:""guardian"";b:1;}"
3039,"a:1:{s:8:""guardian"";b:1;}"
3408,"a:1:{s:8:""guardian"";b:1;}"
3780,"a:1:{s:8:""guardian"";b:1;}"
3680,"a:1:{s:8:""guardian"";b:1;}"
3611,"a:1:{s:8:""guardian"";b:1;}"
3478,"a:1:{s:8:""guardian"";b:1;}"
3025,"a:1:{s:8:""guardian"";b:1;}"
2743,"a:1:{s:8:""guardian"";b:1;}"
2698,"a:1:{s:8:""guardian"";b:1;}"
3991,"a:2:{s:8:""guardian"";b:1;s:8:""customer"";b:1;}"
3860,"a:1:{s:8:""guardian"";b:1;}"
3386,"a:1:{s:8:""guardian"";b:1;}"
2994,"a:1:{s:8:""guardian"";b:1;}"
2874,"a:1:{s:8:""guardian"";b:1;}"
