id,user_id,product_id,booking,stripe_id
62060,6181,29,2023-12-01,62060
62063,9883,31,2023-12-01,62063
62067,6130,31,2023-12-01,62067
62082,12974,39,2023-12-02,62082
62088,9546,36,2023-12-02,62088
62095,12142,36,2023-12-02,62095
62098,7035,28,2023-12-08,62098
62104,10538,39,2023-12-02,62104
62106,6518,39,2023-12-02,62106
62107,13109,39,2023-12-02,62107
62121,4001,40,2023-12-03,62121
62122,7423,41,2023-12-03,62122
62123,13110,40,2023-12-03,62123
62125,3662,40,2023-12-03,62125
62126,6519,40,2023-12-03,62126
62128,13037,40,2023-12-03,62128
62129,6319,42,2023-12-03,62129
62131,12909,43,2023-12-03,62131
62132,8031,43,2023-12-03,62132
62133,6206,7,2023-12-04,62133
62134,6206,18,2023-12-06,62134
62135,6206,31,2023-12-08,62135
62136,6130,7,2023-12-04,62136
62137,6141,62,2023-12-05,62137
62138,6141,22,2023-12-07,62138
62140,13007,5,2023-12-04,62140
62142,6471,5,2023-12-04,62142
62143,13040,5,2023-12-04,62143
62144,6435,5,2023-12-04,62144
62145,6181,5,2023-12-04,62145
62148,4001,10,2023-12-04,62148
62174,8621,71,2023-12-04,62174
62182,7169,62,2023-12-05,62182
62194,6571,71,2023-12-04,62194
62195,13079,22,2023-12-07,62195
62197,13007,62,2023-12-05,62197
62199,4001,62,2023-12-05,62199
62200,6420,10,2023-12-04,62200
62201,7516,71,2023-12-04,62201
62202,11582,71,2023-12-04,62202
62206,6005,71,2023-12-04,62206
62208,8481,10,2023-12-04,62208
62218,5515,62,2023-12-05,62218
62219,13040,62,2023-12-05,62219
62229,6570,44,2023-12-05,62229
62245,7425,45,2023-12-05,62245
62246,7425,82,2023-12-06,62246
62252,7136,45,2023-12-05,62252
62264,6125,45,2023-12-05,62264
62267,7167,45,2023-12-05,62267
62270,13114,15,2023-12-05,62270
62269,6731,45,2023-12-05,62269
62276,11796,40,2023-12-10,62276
62279,7001,24,2023-12-07,62279
62283,11535,82,2023-12-06,62283
62284,6181,82,2023-12-06,62284
62287,7035,5,2023-12-11,62287
62307,9218,22,2023-12-07,62307
62310,6420,20,2023-12-06,62310
